author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,classification,themes,sentiment,LLM Emotions (parsed),LLM Emotions Confidence,text,language
@TriedRefusedProductions,"So much of it was generic tho. The girl marrying herself, Neelam and Sameer just running away and their kids, why did they even like each other? The generic speech about Dia suddenly becoming an activist now. It was all too abrupt",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,18,"so much of it was generic tho. the girl marrying herself, neelam and sameer just running away and their kids, why did they even like each other? the generic speech about dia suddenly becoming an activist now. it was all too abrupt","{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,Disgust,High,"so much of it was generic tho. the girl marrying herself, neelam and sameer just running away and their kids, why did they even like each other? the generic speech about dia suddenly becoming an activist now. it was all too abrupt",English
@25lavender,My favourite wedding this season was the Dalit Wedding (Radhika Apte). The set and Bgm damn it was so damn pretty and mesmerising. Loved it so much.,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,1,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,3,my favourite wedding this season was the dalit wedding (radhika apte). the set and bgm damn it was so damn pretty and mesmerising. loved it so much.,"{
  ""themes"": [""India Local Culture"", ""Caste / Intersectional""],
  ""sentiment"": ""Positive""
}","India Local Culture,Caste / Intersectional",Positive,"Compassion, Pride",Medium,my favourite wedding this season was the dalit wedding (radhika apte). the set and bgm damn it was so damn pretty and mesmerising. loved it so much.,English
@bitcoearn3288,Bollywoodia bhaand woke mindset Promoting LGBT ️‍ agendaa that’s why boycott and hate Indian and like western this bollywoodia bhaand give only lecture,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,2,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott and hate indian and like western this bollywoodia bhaand give only lecture,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","India Local Culture,Gender Norms & Dynamics",Negative,"Anger, Contempt, Disgust",High,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott and hate indian and like western this bollywoodia bhaand give only lecture,English
@bitcoearn3288,Bollywoodia bhaand woke mindset Promoting LGBT ️‍ agendaa that’s why boycott and hate Indian and like western this bollywoodia bhaand,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,0,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott and hate indian and like western this bollywoodia bhaand,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","India Local Culture,Gender Norms & Dynamics",Negative,"Anger, Contempt, Disgust",High,bollywoodia bhaand woke mindset promoting lgbt ️‍ agendaa that’s why boycott and hate indian and like western this bollywoodia bhaand,English
@mrinalrohilla2654,"Summary of every episode: 
Male lead- gets high and fuck a rando
Female lead- cry about business and her husband's affair
Both of them gets involved in thier cilents personal matter. Just do your job.
Additional: thin camera guy, thin Punjabi middle class girl.
Mona's children don't respect her.
Overall: rich people getting married.",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,"summary of every episode: male lead- gets high and fuck a rando female lead- cry about business and her husband's affair both of them gets involved in thier cilents personal matter. just do your job. additional: thin camera guy, thin punjabi middle class girl. mona's children don't respect her. overall: rich people getting married.","{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Body & Beauty Standards""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Body & Beauty Standards",Negative,"Contempt, Disgust",Medium,"summary of every episode: male lead- gets high and fuck a rando female lead- cry about business and her husband's affair both of them gets involved in thier cilents personal matter. just do your job. additional: thin camera guy, thin punjabi middle class girl. mona's children don't respect her. overall: rich people getting married.",English
@vaishalijadhav6100,Proud of you be happy wedding beautiful Buddhist i like ❤❤❤❤❤❤ Radhika mam❤❤❤❤,3,https://www.youtube.com/watch?v=AL8echtIyHc,0,"Made in Heaven Season 2: Mrunal Thakur, Radhika Apte and others look mesmerizing as brides",comment,1,proud of you be happy wedding beautiful buddhist i like ❤❤❤❤❤❤ radhika mam❤❤❤❤,"{
  ""themes"": [""India Local Culture"", ""Body & Beauty Standards""],
  ""sentiment"": ""Positive""
}","India Local Culture,Body & Beauty Standards",Positive,"Compassion, Pride",Medium,proud of you be happy wedding beautiful buddhist i like ❤❤❤❤❤❤ radhika mam❤❤❤❤,English
@abhilashthakur5830,The episode with caste is so much out of reality,10,https://www.youtube.com/watch?v=qucgu36_IAk,0,"Made In Heaven Season 2 Explained In Hindi | Episode 5, 6 & 7 Explained | Movies With Shoaib",comment,0,the episode with caste is so much out of reality,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}",Caste / Intersectional,Negative,Disgust,High,the episode with caste is so much out of reality,English
@mp-it5sn,Okarini body shaming chesi mee paapaanni penchukuntunnaaru,19,https://www.youtube.com/watch?v=fGjbLJ9oGOk,0,"Did Sobhita Dhulipala Like Playing Tara Khanna? #MadeInHeaven S2, Sobhita Reveals | #PrimeVideo N18V",reply,1,okarini body shaming chesi mee paapaanni penchukuntunnaaru,"{
  ""themes"": [""Body & Beauty Standards"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","Body & Beauty Standards,Gender Norms & Dynamics",Negative,"Anger, Contempt",Medium,okarini body shaming chesi mee paapaanni penchukuntunnaaru,English
@redneckpeter,Zoya+Reema = overdose of woke energy which the mainstream Indian audience can't deal with ‍,118,https://www.youtube.com/watch?v=4gt3T2fFYQg,2,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,7,zoya+reema = overdose of woke energy which the mainstream indian audience can't deal with ‍,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","India Local Culture,Gender Norms & Dynamics",Negative,"Contempt, Disgust",Medium,zoya+reema = overdose of woke energy which the mainstream indian audience can't deal with ‍,English
@Dr.0203,Mrunal Thakur’s episode just gutted me ya!,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,0,mrunal thakur’s episode just gutted me ya!,"{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,Sadness,High,mrunal thakur’s episode just gutted me ya!,English
@namratasengupta6612,Shobhita did so many things  to her face bloody hypocrites,239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,0,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,0,shobhita did so many things to her face bloody hypocrites,"{
  ""themes"": [""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}",Body & Beauty Standards,Negative,"Anger, Contempt",Medium,shobhita did so many things to her face bloody hypocrites,English
@rvd597,A girl is not legally and morally not correct to ask right on ancestral property of a husband as alimony in divorce…. I felt pity for MIL of Tara and happy on the bf of Tara that he left her and didn’t stay with Tara,103,https://www.youtube.com/watch?v=F91nUJaonzg,0,"Bitter Sweet Revenge | Made In Heaven S2 | Sobhita Dhulipala, Jim Sarbh, Kalki Koechlin",reply,8,a girl is not legally and morally not correct to ask right on ancestral property of a husband as alimony in divorce…. i felt pity for mil of tara and happy on the bf of tara that he left her and didn’t stay with tara,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,,Low,a girl is not legally and morally not correct to ask right on ancestral property of a husband as alimony in divorce…. i felt pity for mil of tara and happy on the bf of tara that he left her and didn’t stay with tara,English
@payalalam8738,Her story reminded me of Dr. Suraj Yengde ❤,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,reply,0,her story reminded me of dr. suraj yengde ❤,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,Compassion,High,her story reminded me of dr. suraj yengde ❤,English
@neeti5468,"Gay , lesbian , sex , chimma chaati ... .. English , Wokism , Feminism.... bam gaya show",18,https://www.youtube.com/watch?v=IBnwNYjkSBM,2,Made In Heaven Season 2 All Episodes Review || Made In Heaven Season 2 Review || Faheem Taj,comment,3,"gay , lesbian , sex , chimma chaati ... .. english , wokism , feminism.... bam gaya show","{
  ""themes"": [""Gender Norms & Dynamics"", ""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Body & Beauty Standards",Negative,"Contempt, Disgust",Medium,"gay , lesbian , sex , chimma chaati ... .. english , wokism , feminism.... bam gaya show",English
@1985abhishekson," @vedanthmisri9956  comparing because Sucharita liked RRKPK which has patriarchy theme in the heart of the story. Even in MIH, patriarchal nuances have been weaved into the episodes, not all but a few for sure.",275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,reply,1,"@vedanthmisri9956 comparing because sucharita liked rrkpk which has patriarchy theme in the heart of the story. even in mih, patriarchal nuances have been weaved into the episodes, not all but a few for sure.","```json
{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}
```","Gender Norms & Dynamics,Caste / Intersectional",Neutral,Contempt,High,"@vedanthmisri9956 comparing because sucharita liked rrkpk which has patriarchy theme in the heart of the story. even in mih, patriarchal nuances have been weaved into the episodes, not all but a few for sure.",English
@rvd597,There was also some lacking in research. A girl cannot ask ancestral property as an alimony… it’s legally and morally incorrect,1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,there was also some lacking in research. a girl cannot ask ancestral property as an alimony… it’s legally and morally incorrect,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Contempt, Disgust",Medium,there was also some lacking in research. a girl cannot ask ancestral property as an alimony… it’s legally and morally incorrect,English
@narender817,Same shit from the same gang of Bollywood. Every second scene was that Gay jumping on each other. Show people fucking despite what are the relationship between them total Hindu hatred new shit added that Dalit marriage upper caste later show her as Buddhist. What you expect from known urban jehadi Javed Akhtar's daughter and that Reema kaagti.,1572,https://www.youtube.com/watch?v=_lpxWzvII5k,0,Made in Heaven Season 2 - Official Trailer | Prime Video India,comment,0,same shit from the same gang of bollywood. every second scene was that gay jumping on each other. show people fucking despite what are the relationship between them total hindu hatred new shit added that dalit marriage upper caste later show her as buddhist. what you expect from known urban jehadi javed akhtar's daughter and that reema kaagti.,"{
  ""themes"": [
    ""Caste / Intersectional"",
    ""Gender Norms & Dynamics""
  ],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,Gender Norms & Dynamics",Negative,"Anger, Contempt, Disgust",High,same shit from the same gang of bollywood. every second scene was that gay jumping on each other. show people fucking despite what are the relationship between them total hindu hatred new shit added that dalit marriage upper caste later show her as buddhist. what you expect from known urban jehadi javed akhtar's daughter and that reema kaagti.,English
@vikalptrivedi6730,My biggest problem with otherwise brilliant season 1 is they have shown it's ok when a girl (Pulkit Samrat episode) or a homosexual (Nawab was married yet he has sex with Karan) cheat.,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,2,Made In Heaven Season 2 Review : The Truth!,comment,10,my biggest problem with otherwise brilliant season 1 is they have shown it's ok when a girl (pulkit samrat episode) or a homosexual (nawab was married yet he has sex with karan) cheat.,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Disgust",Medium,my biggest problem with otherwise brilliant season 1 is they have shown it's ok when a girl (pulkit samrat episode) or a homosexual (nawab was married yet he has sex with karan) cheat.,English
@niyatikaul8304,It’s a desi thing I guess. ,239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,0,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,reply,0,it’s a desi thing i guess.,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Neutral""
}",India Local Culture,Neutral,No emotion,High,it’s a desi thing i guess.,English
@akashpatre8643, @sharmistha-p6r  Maybe you don't have any rizz to woe a girl/boy that is why you don't understand ,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,1,@sharmistha-p6r maybe you don't have any rizz to woe a girl/boy that is why you don't understand,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Contempt, Disgust",Medium,@sharmistha-p6r maybe you don't have any rizz to woe a girl/boy that is why you don't understand,English
@milanmohan7731,"I found that entire dalit-Buddhist marriage cringe . Like, i feel Dr. Ambedkar wouldn't like people using his photo like a deity, along with Buddha, if he was alive today. 

Also, what's the correlation between dalits and Buddhism? I've been seeing it in many dalit focused movies. I know Dr. Ambedkar was Buddhist, but did he encourage people to take up buddhism? He wasn't a person like that, moreover, Atheism would make more sense than Buddhism.

This whole series felt like it was filled with virtual signalling",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,"i found that entire dalit-buddhist marriage cringe . like, i feel dr. ambedkar wouldn't like people using his photo like a deity, along with buddha, if he was alive today. also, what's the correlation between dalits and buddhism? i've been seeing it in many dalit focused movies. i know dr. ambedkar was buddhist, but did he encourage people to take up buddhism? he wasn't a person like that, moreover, atheism would make more sense than buddhism. this whole series felt like it was filled with virtual signalling","```json
{
  ""themes"": [""Caste / Intersectional"", ""India Local Culture""],
  ""sentiment"": ""Negative""
}
```","Caste / Intersectional,India Local Culture",Negative,"Anger, Contempt, Disgust",High,"i found that entire dalit-buddhist marriage cringe . like, i feel dr. ambedkar wouldn't like people using his photo like a deity, along with buddha, if he was alive today. also, what's the correlation between dalits and buddhism? i've been seeing it in many dalit focused movies. i know dr. ambedkar was buddhist, but did he encourage people to take up buddhism? he wasn't a person like that, moreover, atheism would make more sense than buddhism. this whole series felt like it was filled with virtual signalling",English
@SunnyBee7,Growth overall dikhta h ( Janhvi kapoor ka) ,243,https://www.youtube.com/watch?v=6rfvN5Az6R8,1,Made in Heaven Season 2 & Dream Girl 2 trailer review | Hot or Miss | Honest Review | MensXP,comment,0,growth overall dikhta h ( janhvi kapoor ka),"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,Pride,High,growth overall dikhta h ( janhvi kapoor ka),English
@dds6234,​ @ashishranjan9303  then do onething.. u give dowry to ur wie and stay in her home.. then she will provide you FREE food and stay. Don't forget to give free service.. households take care of inlaws.. ok..?,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,1,​ @ashishranjan9303 then do onething.. u give dowry to ur wie and stay in her home.. then she will provide you free food and stay. don't forget to give free service.. households take care of inlaws.. ok..?,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Contempt, Disgust",Medium,​ @ashishranjan9303 then do onething.. u give dowry to ur wie and stay in her home.. then she will provide you free food and stay. don't forget to give free service.. households take care of inlaws.. ok..?,English
@rushabhshah.2768,"these days in india every thought of equality is called a ""western thought"" or anti indian thought ",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,reply,8,"these days in india every thought of equality is called a ""western thought"" or anti indian thought","{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","India Local Culture,Gender Norms & Dynamics",Negative,"Anger, Contempt",Medium,"these days in india every thought of equality is called a ""western thought"" or anti indian thought",English
@anuragmathur3824,"These types of series only show one sided things, such as domestic violence on women, cheating justification, and what not. But they never show, violence on men, effects of betrayal on people, how and why cheating is bad? They will never showcase these. That's why I don't support these types of creators and shows. ",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,2,Made In Heaven Season 2 Review : The Truth!,comment,7,"these types of series only show one sided things, such as domestic violence on women, cheating justification, and what not. but they never show, violence on men, effects of betrayal on people, how and why cheating is bad? they will never showcase these. that's why i don't support these types of creators and shows.","{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Gender-Based Violence""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Gender-Based Violence",Negative,"Anger, Disgust",Medium,"these types of series only show one sided things, such as domestic violence on women, cheating justification, and what not. but they never show, violence on men, effects of betrayal on people, how and why cheating is bad? they will never showcase these. that's why i don't support these types of creators and shows.",English
@quarantinegaming6458,"#MadeInHeavenS2 
On the positive note, This season has strong stories putting focus on sensitive topics like Racism, Domestic Abuse, Casteism, equality. Show is technically perfect in every aspect. Its just too much generalisation & typecasting which is a problem with this season",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,1,"#madeinheavens2 on the positive note, this season has strong stories putting focus on sensitive topics like racism, domestic abuse, casteism, equality. show is technically perfect in every aspect. its just too much generalisation & typecasting which is a problem with this season","{
  ""themes"": [
    ""Gender-Based Violence"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Positive""
}","Gender-Based Violence,Caste / Intersectional",Positive,"Compassion, Disgust",Medium,"#madeinheavens2 on the positive note, this season has strong stories putting focus on sensitive topics like racism, domestic abuse, casteism, equality. show is technically perfect in every aspect. its just too much generalisation & typecasting which is a problem with this season",English
@SB-im4sr,Alia Bhatt's darlings has a similar message,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,alia bhatt's darlings has a similar message,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,No emotion,High,alia bhatt's darlings has a similar message,English
@user-rr8ts6uv5u,Irony is Shobhita herself has gone for all these kinds of treatments in her real life.,239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,0,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,0,irony is shobhita herself has gone for all these kinds of treatments in her real life.,"{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,Contempt,High,irony is shobhita herself has gone for all these kinds of treatments in her real life.,English
@amulyab3110,"If a girl not going to husband's house means a family breaker, then it means men have been breaking girls' family since ages?",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,9,"if a girl not going to husband's house means a family breaker, then it means men have been breaking girls' family since ages?","{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Contempt",Medium,"if a girl not going to husband's house means a family breaker, then it means men have been breaking girls' family since ages?",English
@haggerd5986, @siddharthdhulipala24  using a very casteist slur in one of her Instagram lives,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,reply,0,@siddharthdhulipala24 using a very casteist slur in one of her instagram lives,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}",Caste / Intersectional,Negative,"Anger, Contempt",Medium,@siddharthdhulipala24 using a very casteist slur in one of her instagram lives,English
@satyarthpandey225,So true real india is..mix with all types of people...people need to understand that every class of india having there own issues..thats people surviving storys...love season 2,10,https://www.youtube.com/watch?v=cZT7id6lolY,0,"Made In Heaven Season 2 Review, Reaction, Amazon Prime Video | बिल्कुल मिस मत करना",comment,1,so true real india is..mix with all types of people...people need to understand that every class of india having there own issues..thats people surviving storys...love season 2,"{
  ""themes"": [""India Local Culture"", ""Caste / Intersectional""],
  ""sentiment"": ""Positive""
}","India Local Culture,Caste / Intersectional",Positive,Compassion,High,so true real india is..mix with all types of people...people need to understand that every class of india having there own issues..thats people surviving storys...love season 2,English
@SaraanSarangi,Rang saaf ho jayega. I didnt know its a common term in india too. Same in pakistan. Despite of people have lighter skintone here but still they want more light complexion,239,https://www.youtube.com/watch?v=Bk_n6DjDP2o,2,Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,comment,20,rang saaf ho jayega. i didnt know its a common term in india too. same in pakistan. despite of people have lighter skintone here but still they want more light complexion,"{
  ""themes"": [""Body & Beauty Standards"", ""India Local Culture""],
  ""sentiment"": ""Neutral""
}","Body & Beauty Standards,India Local Culture",Neutral,"Disgust, Sadness",Medium,rang saaf ho jayega. i didnt know its a common term in india too. same in pakistan. despite of people have lighter skintone here but still they want more light complexion,English
@multipurpose6984,​​ @MrBlack-qb6ev APNE SOCH KACHRA KUNDI SA UTHA LENA,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,1,​​ @mrblack-qb6ev apne soch kachra kundi sa utha lena,"{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,"Contempt, Disgust",Medium,​​ @mrblack-qb6ev apne soch kachra kundi sa utha lena,English
@jatinaneja1837,"When Boy earn good money... Then Marriage & Family.

When Girl earn good money- independent - no need of family.",359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,0,when boy earn good money... then marriage & family. when girl earn good money- independent - no need of family.,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Economic Empowerment""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Economic Empowerment",Negative,"Contempt, Disgust",Medium,when boy earn good money... then marriage & family. when girl earn good money- independent - no need of family.,English
@bhawnaKK,"Spot on! I was wondering why Shobita has a consistent frown? Why can't accomplished women smile? The forced DE&I was well, clearly so forced.",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,"spot on! i was wondering why shobita has a consistent frown? why can't accomplished women smile? the forced de&i was well, clearly so forced.","{
  ""themes"": [""Gender Norms & Dynamics"", ""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Body & Beauty Standards",Negative,"Contempt, Disgust",Medium,"spot on! i was wondering why shobita has a consistent frown? why can't accomplished women smile? the forced de&i was well, clearly so forced.",English
@sowmyab506,"I really liked Bulbul’s character. Tara’s grey character was also good. Karan’s arc was really exhausting tbh. 
The wokeism part was too forced and not seamless at all!
Worst was the Dia Mirza episode, felt so superficial haha",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,comment,0,"i really liked bulbul’s character. tara’s grey character was also good. karan’s arc was really exhausting tbh. the wokeism part was too forced and not seamless at all! worst was the dia mirza episode, felt so superficial haha","{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}",,Neutral,"Anger, Disgust",Medium,"i really liked bulbul’s character. tara’s grey character was also good. karan’s arc was really exhausting tbh. the wokeism part was too forced and not seamless at all! worst was the dia mirza episode, felt so superficial haha",English
@mr_coffee9917,Indian society is sico,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,0,indian society is sico,"```json
{
  ""themes"": [],
  ""sentiment"": ""Neutral""
}
```",,Neutral,Contempt,High,indian society is sico,English
@preetivelhal889,when was zoya akhtar ever realistic. delusionally pretentious. she thinks problems cant really be problems can't really stand out unless you wear sabysachi and sob.,275,https://www.youtube.com/watch?v=eWte05Lq-q8,0,Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,comment,0,when was zoya akhtar ever realistic. delusionally pretentious. she thinks problems cant really be problems can't really stand out unless you wear sabysachi and sob.,"{
  ""themes"": [],
  ""sentiment"": ""Negative""
}",,Negative,"Contempt, Disgust",Medium,when was zoya akhtar ever realistic. delusionally pretentious. she thinks problems cant really be problems can't really stand out unless you wear sabysachi and sob.,English
@AmitGupta-cz8fb,Poor Punjabi..  writer ne serial dekh ke dialogue lkhe hain,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,2,poor punjabi.. writer ne serial dekh ke dialogue lkhe hain,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Negative""
}",India Local Culture,Negative,"Contempt, Disgust",Medium,poor punjabi.. writer ne serial dekh ke dialogue lkhe hain,English
@manishachalwadi4027,Mundavlya tar Hindu bandhatat ka copy kela amcha dharma drama,607,https://www.youtube.com/watch?v=p2GTty4vK1g,0,"Made in heaven season 2| wedding scene| Radhika Apte,Shivani Raghuvanshi,Arjun Mathur,Kalki,Shashank",comment,0,mundavlya tar hindu bandhatat ka copy kela amcha dharma drama,"{
  ""themes"": [""India Local Culture""],
  ""sentiment"": ""Neutral""
}",India Local Culture,Neutral,Contempt,High,mundavlya tar hindu bandhatat ka copy kela amcha dharma drama,English
@Knightko,Nowdays Caring of Family For there kids are Shown as problem by Western Media and Cinema....,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,0,nowdays caring of family for there kids are shown as problem by western media and cinema....,"{
  ""themes"": [""India Local Culture"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","India Local Culture,Gender Norms & Dynamics",Negative,"Anger, Disgust",Medium,nowdays caring of family for there kids are shown as problem by western media and cinema....,English
@nitinbharadwaj5959,Film to film bhaiii advertisement b itne milte jaa rhe h iskooo bc janvi much better coz of her doctor ,243,https://www.youtube.com/watch?v=6rfvN5Az6R8,0,Made in Heaven Season 2 & Dream Girl 2 trailer review | Hot or Miss | Honest Review | MensXP,comment,0,film to film bhaiii advertisement b itne milte jaa rhe h iskooo bc janvi much better coz of her doctor,"```json
{
  ""themes"": [""Body & Beauty Standards""],
  ""sentiment"": ""Negative""
}
```",Body & Beauty Standards,Negative,"Contempt, Disgust",Medium,film to film bhaiii advertisement b itne milte jaa rhe h iskooo bc janvi much better coz of her doctor,English
@haggerd5986, @EsoteriaHealing   I don't like blatant casteism coming out of public figures. stop ass-licking actors for once in your life. thank you very much,106,https://www.youtube.com/watch?v=OrhUkKFsvqY,0,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,reply,0,@esoteriahealing i don't like blatant casteism coming out of public figures. stop ass-licking actors for once in your life. thank you very much,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}",Caste / Intersectional,Negative,"Anger, Contempt, Disgust",Medium,@esoteriahealing i don't like blatant casteism coming out of public figures. stop ass-licking actors for once in your life. thank you very much,English
@himanshusaxena8639, @mihirsharma0987  Abe juari matlab ki spouse ke mamle me,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,@mihirsharma0987 abe juari matlab ki spouse ke mamle me,"```json
{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Neutral""
}
```",Gender Norms & Dynamics,Neutral,Contempt,High,@mihirsharma0987 abe juari matlab ki spouse ke mamle me,English
